Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Percent,2019,42.8
2019,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Percent,2019,37.8
