Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Number of housing units,,Number,2020,12560
2016,Number of housing units,,Number,2020,10008
2017,Number of housing units,,Number,2020,6179
2018,Number of housing units,,Number,2020,4742
2019,Number of housing units,,Number,2020,8861
2020,Number of housing units,,Number,2020,6626
