Year,SERIES,Reference area,Age,Education level,UNIT_MEASURE,Time period details,Value
2019,"Percentage of children who are developmentally on track in health, learning and psychosocial well-being [4.2.1]",,under 6 years old,Early childhood educational development,Percent,2020,10.11
2020,"Percentage of children who are developmentally on track in health, learning and psychosocial well-being [4.2.1]",,under 6 years old,Early childhood educational development,Percent,2020,15.2
