Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Job growth rate in the “accommodation and food services” sector,,Percent,2021,3.14
2016,Job growth rate in the “accommodation and food services” sector,,Percent,2021,3.33
2017,Job growth rate in the “accommodation and food services” sector,,Percent,2021,5.63
2018,Job growth rate in the “accommodation and food services” sector,,Percent,2021,2.7
2019,Job growth rate in the “accommodation and food services” sector,,Percent,2021,3.02
2020,Job growth rate in the “accommodation and food services” sector,,Percent,2021,-8.68
2021,Job growth rate in the “accommodation and food services” sector,,Percent,2021,3.14
