Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,Nombre de documents de planification urbaine approuvés,,NUMBER,2020,34
2016,Nombre de documents de planification urbaine approuvés,,NUMBER,2020,37
2017,Nombre de documents de planification urbaine approuvés,,NUMBER,2020,39
2018,Nombre de documents de planification urbaine approuvés,,NUMBER,2020,39
2019,Nombre de documents de planification urbaine approuvés,,NUMBER,2020,42
2020,Nombre de documents de planification urbaine approuvés,,NUMBER,2020,80
