Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Proportion of forest area with a long-term management plan [15.2.1],,Percent,2021,0.4953
2016,Proportion of forest area with a long-term management plan [15.2.1],,Percent,2021,0.6318
2017,Proportion of forest area with a long-term management plan [15.2.1],,Percent,2021,0.6318
2018,Proportion of forest area with a long-term management plan [15.2.1],,Percent,2021,0.6318
2019,Proportion of forest area with a long-term management plan [15.2.1],,Percent,2021,0.668
2020,Proportion of forest area with a long-term management plan [15.2.1],,Percent,2021,0.7043
2021,Proportion of forest area with a long-term management plan [15.2.1],,Percent,2021,0.7123
