Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2017,SL_ISV_IFEM,,,PT,2021,95.4
2018,SL_ISV_IFEM,,,PT,2021,92.26
2019,SL_ISV_IFEM,,,PT,2021,93.53
2021,SL_ISV_IFEM,,,PT,2021,92.6
2017,SL_ISV_IFEM,,F,PT,2021,97.7
2018,SL_ISV_IFEM,,F,PT,2021,96.08
2019,SL_ISV_IFEM,,F,PT,2021,96.59
2021,SL_ISV_IFEM,,F,PT,2021,94.58
2017,SL_ISV_IFEM,,M,PT,2021,93.3
2018,SL_ISV_IFEM,,M,PT,2021,89.71
2019,SL_ISV_IFEM,,M,PT,2021,91.42
2021,SL_ISV_IFEM,,M,PT,2021,91.26
