Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,SH_STA_BRTC,,PT,2021,53.2
2016,A,0,SH_STA_BRTC,,PT,2021,59.0
2017,A,0,SH_STA_BRTC,,PT,2021,65.0
2018,A,0,SH_STA_BRTC,,PT,2021,74.2
2019,A,0,SH_STA_BRTC,,PT,2021,74.5
2020,A,0,SH_STA_BRTC,,PT,2021,96.3
2021,A,0,SH_STA_BRTC,,PT,2021,97.0
