Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,SH_DYN_NMRT,,M0,PER_1000_LIVE_BIRTHS,2019,23
2016,A,0,SH_DYN_NMRT,,M0,PER_1000_LIVE_BIRTHS,2019,21
2017,A,0,SH_DYN_NMRT,,M0,PER_1000_LIVE_BIRTHS,2019,28
2018,A,0,SH_DYN_NMRT,,M0,PER_1000_LIVE_BIRTHS,2019,23
2019,A,0,SH_DYN_NMRT,,M0,PER_1000_LIVE_BIRTHS,2019,21
